,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
8948,4153714,2017,2017,1992,TCHC,19,Beaches-East York,520 KINGSTON RD,5,108,2017-12-19,68,Evaluation needs to be conducted in 2 years,18,3,3,4,3,3,3,4,3,3,,3,3,5,3,3,4,4,4,3,,S1935,43.67824727,-79.302446163,320713.024,4837385.748
5099,4153714,2017,2019,1992,TCHC,19,Beaches-East York,520 KINGSTON RD,5,108,2019-12-05,80,Evaluation needs to be conducted in 2 years,18,4,4,5,4,4,4,4,4,4,,4,4,5,4,4,4,3,4,3,,S1935,43.67824727,-79.302446163,320713.024,4837385.748
2766,4153714,2017,2021,1992,TCHC,19,Beaches-East York,520 KINGSTON RD,5,108,2021-10-18,94,Evaluation needs to be conducted in 3 years,19,5,3,5,5,5,5,5,5,5,,5,4,5,5,4,5,5,5,4,4,S1935,43.67824727,-79.302446163,320713.024,4837385.748
8902,4153715,2017,2017,1958,PRIVATE,19,Beaches-East York,474 KINGSTON RD,4,38,2017-12-20,74,Evaluation needs to be conducted in 2 years,17,4,4,4,4,4,2,,3,,3,4,4,5,4,3,3,4,4,4,,S1935,43.6776882643,-79.3033656117,320639.297,4837322.513
5096,4153715,2017,2019,1958,PRIVATE,19,Beaches-East York,474 KINGSTON RD,4,38,2019-12-05,82,Evaluation needs to be conducted in 2 years,17,4,4,5,4,4,3,,4,,4,5,4,5,4,4,4,4,4,4,,S1935,43.6776882643,-79.3033656117,320639.297,4837322.513
2302,4153715,2017,2021,1958,PRIVATE,19,Beaches-East York,474 KINGSTON RD,4,38,2021-11-17,87,Evaluation needs to be conducted in 3 years,17,5,3,5,5,5,3,,5,,5,5,3,5,5,4,3,5,5,3,,S1935,43.6776882643,-79.3033656117,320639.297,4837322.513
9054,4153716,2017,2017,1956,PRIVATE,19,Beaches-East York,619 WOODBINE AVE,4,50,2017-12-15,70,Evaluation needs to be conducted in 2 years,16,3,4,3,3,3,4,,4,,,2,2,5,4,4,4,4,3,4,,S1935,43.6778956947,-79.3088113763,320200.146,4837344.543
3236,4153716,2017,2021,1956,PRIVATE,19,Beaches-East York,619 WOODBINE AVE,4,50,2021-04-22,86,Evaluation needs to be conducted in 3 years,16,5,4,5,4,4,5,,5,,,4,5,5,4,4,4,3,4,4,,S1935,43.6778956947,-79.3088113763,320200.146,4837344.543
11098,4153717,2017,2017,1987,SOCIAL HOUSING,19,Beaches-East York,751 WOODBINE AVE,5,97,2017-10-23,67,Evaluation needs to be conducted in 2 years,20,3,4,4,2,4,4,3,3,3,3,3,3,3,4,4,3,4,3,3,4,S1935,43.680524762,-79.3102839398,320080.746,4837636.366
5091,4153717,2017,2019,1987,SOCIAL HOUSING,19,Beaches-East York,751 WOODBINE AVE,5,97,2019-12-05,74,Evaluation needs to be conducted in 2 years,19,3,4,4,3,3,4,4,4,4,5,3,4,5,3,4,4,3,3,3,,S1935,43.680524762,-79.3102839398,320080.746,4837636.366
2322,4153717,2017,2021,1987,SOCIAL HOUSING,19,Beaches-East York,751 WOODBINE AVE,5,97,2021-11-16,85,Evaluation needs to be conducted in 2 years,20,5,3,3,5,5,5,3,5,5,5,3,5,3,4,4,5,5,4,4,4,S1935,43.680524762,-79.3102839398,320080.746,4837636.366
8408,4153720,2020,2017,1988,SOCIAL HOUSING,19,Beaches-East York,2526 DANFORTH AVE,7,48,2018-01-18,70,Evaluation needs to be conducted in 2 years,18,4,4,4,3,4,3,4,3,3,,4,4,4,3,3,3,3,3,,4,S1929,43.6883174325,-79.3025563055,320701.73,4838503.548
3237,4153720,2020,2021,1988,SOCIAL HOUSING,19,Beaches-East York,2526 DANFORTH AVE,7,48,2021-04-22,78,Evaluation needs to be conducted in 2 years,19,4,4,4,4,4,4,4,4,4,,3,4,4,4,3,4,3,4,4,5,S1929,43.6883174325,-79.3025563055,320701.73,4838503.548
11053,4153721,2017,2017,1971,PRIVATE,19,Beaches-East York,700 KINGSTON RD,7,38,2017-10-24,69,Evaluation needs to be conducted in 2 years,17,4,3,5,3,3,3,,3,3,,3,4,5,3,4,4,4,3,2,,S1936,43.679427643,-79.296686038,321177.143,4837518.012
5104,4153721,2017,2019,1971,PRIVATE,19,Beaches-East York,700 KINGSTON RD,7,38,2019-12-05,68,Evaluation needs to be conducted in 2 years,17,4,4,5,3,3,3,,3,3,,3,3,5,3,2,4,4,4,2,,S1936,43.679427643,-79.296686038,321177.143,4837518.012
2588,4153721,2017,2021,1971,PRIVATE,19,Beaches-East York,700 KINGSTON RD,7,38,2021-10-27,84,Evaluation needs to be conducted in 2 years,18,5,3,5,5,5,3,,5,5,5,3,5,5,3,4,4,5,3,3,,S1936,43.679427643,-79.296686038,321177.143,4837518.012
8950,4153722,2017,2017,1962,TCHC,19,Beaches-East York,828 KINGSTON RD,7,147,2017-12-19,69,Evaluation needs to be conducted in 2 years,19,3,3,4,3,4,2,2,4,3,4,3,3,5,4,3,4,4,4,,4,S1936,43.6805240722,-79.2921137026,321545.77,4837639.768
5105,4153722,2017,2019,1962,TCHC,19,Beaches-East York,828 KINGSTON RD,7,147,2019-12-05,82,Evaluation needs to be conducted in 2 years,19,4,4,5,5,4,4,3,4,4,,4,4,5,4,4,4,4,4,4,4,S1936,43.6805240722,-79.2921137026,321545.77,4837639.768
2725,4153722,2017,2021,1962,TCHC,19,Beaches-East York,828 KINGSTON RD,7,147,2021-10-20,87,Evaluation needs to be conducted in 3 years,19,3,3,5,5,4,5,5,5,5,,3,5,5,3,5,3,5,4,5,5,S1936,43.6805240722,-79.2921137026,321545.77,4837639.768
8853,4153723,2017,2017,1967,TCHC,19,Beaches-East York,2287 GERRARD ST E,5,38,2017-12-21,59,Evaluation needs to be conducted in 1 year,18,3,3,4,2,3,2,3,3,3,1,2,3,5,4,3,3,,3,3,,S1936,43.6847616076,-79.2954429245,321276.181,4838109.87
7441,4153723,2017,2018,1967,TCHC,19,Beaches-East York,2287 GERRARD ST E,5,38,2019-02-01,69,Evaluation needs to be conducted in 2 years,18,3,2,4,3,4,4,3,3,3,,3,3,4,4,4,4,,4,3,4,S1936,43.6847616076,-79.2954429245,321276.181,4838109.87
4042,4153723,2017,2020,1967,TCHC,19,Beaches-East York,2287 GERRARD ST E,5,38,2020-11-25,76,Evaluation needs to be conducted in 2 years,18,4,4,4,3,4,4,4,3,3,,4,4,4,3,4,4,,4,4,4,S1936,43.6847616076,-79.2954429245,321276.181,4838109.87
1256,4153723,2017,,1967,TCHC,19,Beaches-East York,2287 GERRARD ST E,5,38,2022-10-31,69,Evaluation needs to be conducted in 2 years,18,3,4,4,3,4,2,4,3,4,,3,5,5,3,3,3,,3,3,3,S1936,43.6847616076,-79.2954429245,321276.181,4838109.87
8854,4153724,2017,2017,1991,TCHC,19,Beaches-East York,2390 GERRARD ST E,4,16,2017-12-21,69,Evaluation needs to be conducted in 2 years,14,3,3,3,3,,3,,4,,,3,3,5,4,4,4,,3,3,,S1933,43.686322989,-79.290283704,321691.453,4838285.303
5070,4153724,2017,2019,1991,TCHC,19,Beaches-East York,2390 GERRARD ST E,4,16,2019-12-05,69,Evaluation needs to be conducted in 2 years,15,4,3,2,3,3,3,,4,,,4,3,5,4,4,4,,3,3,,S1933,43.686322989,-79.290283704,321691.453,4838285.303
2718,4153724,2017,2021,1991,TCHC,19,Beaches-East York,2390 GERRARD ST E,4,16,2021-10-20,73,Evaluation needs to be conducted in 2 years,14,3,3,3,5,,5,,3,,,4,3,5,4,3,3,,4,3,,S1933,43.686322989,-79.290283704,321691.453,4838285.303
11138,4153726,2017,2017,1992,SOCIAL HOUSING,19,Beaches-East York,20 TRENT AVE,8,111,2017-10-19,80,Evaluation needs to be conducted in 2 years,19,3,3,4,4,3,5,4,4,4,,4,4,5,4,4,4,5,4,4,4,S1933,43.688688452,-79.296041897,321226.558,4838546.955
5038,4153726,2017,2019,1992,SOCIAL HOUSING,19,Beaches-East York,20 TRENT AVE,8,111,2019-12-09,82,Evaluation needs to be conducted in 2 years,19,3,3,3,5,5,5,5,5,5,,3,3,2,5,5,3,5,5,3,5,S1933,43.688688452,-79.296041897,321226.558,4838546.955
2192,4153726,2017,2021,1992,SOCIAL HOUSING,19,Beaches-East York,20 TRENT AVE,8,111,2021-11-24,92,Evaluation needs to be conducted in 3 years,19,5,3,5,5,5,5,5,5,5,,4,5,5,4,4,4,5,4,4,5,S1933,43.688688452,-79.296041897,321226.558,4838546.955
9053,4153727,2017,2017,1994,SOCIAL HOUSING,19,Beaches-East York,62 DAWES RD,4,14,2017-12-15,76,Evaluation needs to be conducted in 2 years,14,3,3,4,4,4,4,,3,,,4,3,5,4,4,4,,4,,,S1930,43.6901517338,-79.2971549611,321136.691,4838708.346
5046,4153727,2017,2019,1994,SOCIAL HOUSING,19,Beaches-East York,62 DAWES RD,4,14,2019-12-09,75,Evaluation needs to be conducted in 2 years,15,3,3,5,5,3,5,,3,,,4,3,5,3,3,3,,3,5,,S1930,43.6901517338,-79.2971549611,321136.691,4838708.346
2418,4153727,2017,2021,1994,SOCIAL HOUSING,19,Beaches-East York,62 DAWES RD,4,14,2021-11-08,79,Evaluation needs to be conducted in 2 years,16,5,3,5,4,5,3,,3,,2,3,3,5,5,3,4,,5,5,,S1930,43.6901517338,-79.2971549611,321136.691,4838708.346
9083,4153728,2017,2017,2007,SOCIAL HOUSING,19,Beaches-East York,2802 DANFORTH AVE,4,25,2017-12-15,88,Evaluation needs to be conducted in 3 years,16,4,5,4,4,5,5,4,5,4,,5,3,4,4,5,4,,5,,,S1930,43.6896558449,-79.2961972389,321214.033,4838653.442
4321,4153728,2017,2020,2007,SOCIAL HOUSING,19,Beaches-East York,2802 DANFORTH AVE,4,25,2020-11-14,83,Evaluation needs to be conducted in 2 years,18,4,4,4,5,4,5,4,4,4,,4,4,5,4,4,4,,4,4,4,S1930,43.6896558449,-79.2961972389,321214.033,4838653.442
1246,4153728,2017,,2007,SOCIAL HOUSING,19,Beaches-East York,2802 DANFORTH AVE,4,25,2022-10-31,75,Evaluation needs to be conducted in 2 years,17,4,4,4,4,3,3,4,3,4,,3,3,5,4,3,4,,5,,4,S1930,43.6896558449,-79.2961972389,321214.033,4838653.442
8708,4153729,2017,2017,1984,TCHC,11,University-Rosedale,40 ASQUITH AVE,17,192,2018-01-03,67,Evaluation needs to be conducted in 2 years,17,3,3,4,2,4,4,3,3,3,,4,3,4,4,3,3,,4,3,,S1129,43.671910844,-79.38519572,314041.906,4836669.309
3439,4153729,2017,2021,1984,TCHC,11,University-Rosedale,40 ASQUITH AVE,17,192,2021-04-13,69,Evaluation needs to be conducted in 2 years,17,3,3,5,3,3,3,3,4,5,,3,4,4,3,3,3,,4,3,,S1129,43.671910844,-79.38519572,314041.906,4836669.309
9739,4153730,2017,2017,1954,PRIVATE,11,University-Rosedale,40 PARK RD,7,39,2017-11-23,64,Evaluation needs to be conducted in 1 year,17,4,3,4,2,3,3,,3,3,3,4,3,4,3,3,3,,3,3,,S1129,43.672981453,-79.384902282,314065.409,4836788.283
7178,4153730,2017,2018,1954,PRIVATE,11,University-Rosedale,40 PARK RD,7,39,2019-02-15,80,Evaluation needs to be conducted in 2 years,17,4,4,4,4,4,4,,4,4,4,4,3,5,4,4,4,,4,4,,S1129,43.672981453,-79.384902282,314065.409,4836788.283
3931,4153730,2017,2020,1954,PRIVATE,11,University-Rosedale,40 PARK RD,7,39,2020-12-01,81,Evaluation needs to be conducted in 2 years,18,5,5,5,3,3,4,,4,4,4,4,4,5,4,4,4,4,4,3,,S1129,43.672981453,-79.384902282,314065.409,4836788.283
238,4153730,2017,,1954,PRIVATE,11,University-Rosedale,40 PARK RD,7,39,2022-12-15,88,Evaluation needs to be conducted in 3 years,17,5,5,5,3,4,5,,4,4,4,4,4,5,4,5,5,,4,5,,S1129,43.672981453,-79.384902282,314065.409,4836788.283
11341,4153731,2017,2017,2013,PRIVATE,17,Don Valley North,130 PARKWAY FOREST DR,8,105,2017-10-16,80,Evaluation needs to be conducted in 2 years,18,4,4,4,4,,4,4,4,4,,4,3,5,4,4,4,4,4,4,4,N1730,43.774618023,-79.343572185,317376.948,4848085.058
5895,4153731,2017,2019,2013,PRIVATE,17,Don Valley North,130 PARKWAY FOREST DR,8,105,2019-11-18,99,Evaluation needs to be conducted in 3 years,18,5,5,5,5,,5,5,5,5,,5,5,5,5,4,5,5,5,5,5,N1730,43.774618023,-79.343572185,317376.948,4848085.058
1237,4153731,2017,,2013,PRIVATE,17,Don Valley North,130 PARKWAY FOREST DR,8,105,2022-10-31,99,Evaluation needs to be conducted in 3 years,20,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,N1730,43.774618023,-79.343572185,317376.948,4848085.058
10273,4153733,2017,2017,1950,PRIVATE,11,University-Rosedale,464 SUMMERHILL AVE,3,19,2017-11-10,60,Evaluation needs to be conducted in 1 year,15,3,2,3,2,3,3,,3,,,3,3,4,3,3,4,,3,3,,S1130,43.686586172,-79.375116004,314852.311,4838300.882
7139,4153733,2017,2018,1950,PRIVATE,11,University-Rosedale,464 SUMMERHILL AVE,3,19,2019-02-20,77,Evaluation needs to be conducted in 2 years,15,4,3,4,4,4,4,,4,,,4,4,4,4,4,4,,4,3,,S1130,43.686586172,-79.375116004,314852.311,4838300.882
3946,4153733,2017,2020,1950,PRIVATE,11,University-Rosedale,464 SUMMERHILL AVE,3,19,2020-12-01,83,Evaluation needs to be conducted in 2 years,15,4,3,5,4,5,4,,5,,,4,4,5,4,4,4,,3,4,,S1130,43.686586172,-79.375116004,314852.311,4838300.882
302,4153733,2017,,1950,PRIVATE,11,University-Rosedale,464 SUMMERHILL AVE,3,19,2022-12-12,93,Evaluation needs to be conducted in 3 years,15,5,5,5,4,5,4,,5,,,4,5,5,4,5,5,,5,4,,S1130,43.686586172,-79.375116004,314852.311,4838300.882
10266,4153734,2017,2017,1969,PRIVATE,11,University-Rosedale,10 LAMPORT AVE,4,36,2017-11-10,74,Evaluation needs to be conducted in 2 years,19,4,3,5,3,5,3,3,3,4,3,4,4,5,4,3,4,4,3,3,,S1131,43.6788601061,-79.3775615187,314656.669,4837441.278
5410,4153734,2017,2019,1969,PRIVATE,11,University-Rosedale,10 LAMPORT AVE,4,36,2019-11-27,74,Evaluation needs to be conducted in 2 years,17,4,4,4,4,5,4,4,2,4,,3,3,5,3,4,4,,3,3,,S1131,43.6788601061,-79.3775615187,314656.669,4837441.278
2669,4153734,2017,2021,1969,PRIVATE,11,University-Rosedale,10 LAMPORT AVE,4,36,2021-10-21,89,Evaluation needs to be conducted in 3 years,19,5,5,5,4,5,3,5,5,4,4,4,4,5,4,5,4,5,4,5,,S1131,43.6788601061,-79.3775615187,314656.669,4837441.278
9364,4153735,2017,2017,1950,PRIVATE,11,University-Rosedale,36 CASTLE FRANK RD,4,53,2017-12-05,65,Evaluation needs to be conducted in 1 year,17,4,3,4,3,3,3,,3,3,,3,3,4,3,3,3,4,3,3,,S1131,43.676613159,-79.3697198649,315289.335,4837192.601
7194,4153735,2017,2018,1950,PRIVATE,11,University-Rosedale,36 CASTLE FRANK RD,4,53,2019-02-15,78,Evaluation needs to be conducted in 2 years,19,4,4,4,4,4,4,4,4,4,3,3,3,5,4,4,4,4,4,4,,S1131,43.676613159,-79.3697198649,315289.335,4837192.601
3941,4153735,2017,2020,1950,PRIVATE,11,University-Rosedale,36 CASTLE FRANK RD,4,53,2020-12-01,80,Evaluation needs to be conducted in 2 years,18,4,4,5,4,4,4,,4,4,3,3,4,5,4,4,4,4,4,4,,S1131,43.676613159,-79.3697198649,315289.335,4837192.601
305,4153735,2017,,1950,PRIVATE,11,University-Rosedale,36 CASTLE FRANK RD,4,53,2022-12-12,91,Evaluation needs to be conducted in 3 years,18,5,5,5,4,5,5,,5,4,3,4,4,5,5,5,4,5,5,4,,S1131,43.676613159,-79.3697198649,315289.335,4837192.601
10880,4153736,2017,2017,1950,PRIVATE,11,University-Rosedale,83 ELM AVE,3,61,2017-10-26,70,Evaluation needs to be conducted in 2 years,18,4,4,4,4,4,3,,3,2,4,4,2,5,3,3,4,4,3,3,,S1131,43.6758876849,-79.3733881455,314993.648,4837111.547
5433,4153736,2017,2019,1950,PRIVATE,11,University-Rosedale,83 ELM AVE,3,61,2019-11-27,87,Evaluation needs to be conducted in 3 years,17,5,5,5,4,5,4,,4,4,,4,3,5,4,5,5,4,4,4,,S1131,43.6758876849,-79.3733881455,314993.648,4837111.547
301,4153736,2017,,1950,PRIVATE,11,University-Rosedale,83 ELM AVE,3,61,2022-12-12,88,Evaluation needs to be conducted in 3 years,18,4,5,5,4,5,3,,5,4,4,4,4,5,4,5,4,5,4,5,,S1131,43.6758876849,-79.3733881455,314993.648,4837111.547
9395,4153737,2018,2017,1955,PRIVATE,11,University-Rosedale,45 GLEN RD,4,28,2017-12-05,67,Evaluation needs to be conducted in 2 years,18,4,4,4,3,4,3,,3,3,3,4,3,4,3,3,3,3,3,3,,S1131,43.6746275863,-79.3751897997,314848.578,4836971.335
5434,4153737,2018,2019,1955,PRIVATE,11,University-Rosedale,45 GLEN RD,4,28,2019-11-27,87,Evaluation needs to be conducted in 3 years,17,5,5,5,4,5,4,,4,4,,5,4,5,4,5,4,4,4,3,,S1131,43.6746275863,-79.3751897997,314848.578,4836971.335
304,4153737,2018,,1955,PRIVATE,11,University-Rosedale,45 GLEN RD,4,28,2022-12-12,81,Evaluation needs to be conducted in 2 years,18,4,5,5,3,4,3,3,4,5,,4,5,5,4,5,2,5,4,3,,S1131,43.6746275863,-79.3751897997,314848.578,4836971.335
9839,4153738,2017,2017,1957,PRIVATE,11,University-Rosedale,5 ELM AVE,4,66,2017-11-22,77,Evaluation needs to be conducted in 2 years,19,4,4,4,4,4,3,3,3,5,4,4,4,5,3,4,4,4,4,3,,S1131,43.674407746,-79.379741579,314510.0,4836920.0
5431,4153738,2017,2019,1957,PRIVATE,11,University-Rosedale,5 ELM AVE,4,66,2019-11-27,87,Evaluation needs to be conducted in 3 years,19,5,4,5,4,4,4,5,5,5,4,5,4,5,4,5,4,4,4,3,,S1131,43.674407746,-79.379741579,314510.0,4836920.0
1794,4153738,2017,,1957,PRIVATE,11,University-Rosedale,5 ELM AVE,4,66,2022-09-15,94,Evaluation needs to be conducted in 3 years,19,4,5,5,4,5,5,4,4,5,5,5,5,5,4,5,4,5,5,5,,S1131,43.674407746,-79.379741579,314510.0,4836920.0
10387,4153739,2017,2017,1950,PRIVATE,11,University-Rosedale,4 SHERBOURNE ST N,4,34,2017-11-08,71,Evaluation needs to be conducted in 2 years,18,4,4,4,3,3,3,3,3,4,,4,4,5,4,3,3,3,4,3,,S1131,43.6740184548,-79.3778037961,314637.899,4836903.35
5398,4153739,2017,2019,1950,PRIVATE,11,University-Rosedale,4 SHERBOURNE ST N,4,34,2019-11-27,86,Evaluation needs to be conducted in 3 years,17,5,5,4,5,5,4,5,4,,,5,4,5,4,3,4,4,4,3,,S1131,43.6740184548,-79.3778037961,314637.899,4836903.35
1791,4153739,2017,,1950,PRIVATE,11,University-Rosedale,4 SHERBOURNE ST N,4,34,2022-09-15,86,Evaluation needs to be conducted in 3 years,19,5,5,5,4,4,4,4,4,4,4,5,5,5,4,5,4,5,4,2,,S1131,43.6740184548,-79.3778037961,314637.899,4836903.35
9148,4153740,2018,2017,1980,PRIVATE,11,University-Rosedale,1233 YONGE ST,4,40,2017-12-13,55,Evaluation needs to be conducted in 1 year,15,2,3,3,3,2,3,,3,,,3,3,3,3,2,2,,3,3,,S1121,43.6837736438,-79.3918217726,313506.154,4837985.526
7168,4153740,2018,2018,1980,PRIVATE,11,University-Rosedale,1233 YONGE ST,4,40,2019-02-19,75,Evaluation needs to be conducted in 2 years,15,4,4,4,4,4,4,,4,,,3,2,5,3,4,4,,3,4,,S1121,43.6837736438,-79.3918217726,313506.154,4837985.526
3610,4153740,2018,2020,1980,PRIVATE,11,University-Rosedale,1233 YONGE ST,4,40,2020-12-15,75,Evaluation needs to be conducted in 2 years,15,4,4,4,4,4,3,,3,,,4,4,5,3,3,4,,4,3,,S1121,43.6837736438,-79.3918217726,313506.154,4837985.526
1622,4153740,2018,,1980,PRIVATE,11,University-Rosedale,1233 YONGE ST,4,40,2022-10-01,68,Evaluation needs to be conducted in 2 years,16,2,4,4,3,2,4,,4,,2,3,5,5,3,3,2,,4,4,,S1121,43.6837736438,-79.3918217726,313506.154,4837985.526
9857,4153742,2017,2017,1986,PRIVATE,11,University-Rosedale,22 WOODLAWN AVE E,5,25,2017-11-22,71,Evaluation needs to be conducted in 2 years,16,4,4,3,3,3,3,,3,4,,4,4,5,3,4,4,,3,3,,S1121,43.6845417395,-79.3910501219,313568.256,4838070.946
5447,4153742,2017,2019,1986,PRIVATE,11,University-Rosedale,22 WOODLAWN AVE E,5,25,2019-11-27,78,Evaluation needs to be conducted in 2 years,17,4,4,4,4,3,3,,4,4,3,4,4,5,4,4,4,,4,4,,S1121,43.6845417395,-79.3910501219,313568.256,4838070.946
2817,4153742,2017,2021,1986,PRIVATE,11,University-Rosedale,22 WOODLAWN AVE E,5,25,2021-10-14,85,Evaluation needs to be conducted in 2 years,19,5,4,5,4,5,3,,5,4,4,4,4,5,4,4,3,5,4,4,5,S1121,43.6845417395,-79.3910501219,313568.256,4838070.946
11094,4153743,2017,2017,1969,PRIVATE,11,University-Rosedale,7 JACKES AVE,28,267,2017-10-23,74,Evaluation needs to be conducted in 2 years,20,4,4,4,3,4,3,4,3,4,3,3,4,5,3,4,4,4,4,3,4,S1121,43.684672949,-79.391651748,313519.467,4838086.41
5451,4153743,2017,2019,1969,PRIVATE,11,University-Rosedale,7 JACKES AVE,28,267,2019-11-27,82,Evaluation needs to be conducted in 2 years,20,4,4,5,4,4,3,3,4,4,4,5,4,5,4,4,4,4,4,4,5,S1121,43.684672949,-79.391651748,313519.467,4838086.41
2742,4153743,2017,2021,1969,PRIVATE,11,University-Rosedale,7 JACKES AVE,28,267,2021-10-19,86,Evaluation needs to be conducted in 3 years,20,5,5,5,3,5,3,4,4,5,4,4,5,5,4,4,4,5,4,3,5,S1121,43.684672949,-79.391651748,313519.467,4838086.41
11095,4153744,2017,2017,1967,PRIVATE,12,Toronto-St. Paul's,44 JACKES AVE,24,411,2017-10-23,79,Evaluation needs to be conducted in 2 years,19,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,3,4,4,S1238,43.6857858,-79.391174558,313557.781,4838210.101
5452,4153744,2017,2019,1967,PRIVATE,12,Toronto-St. Paul's,44 JACKES AVE,24,411,2019-11-27,80,Evaluation needs to be conducted in 2 years,20,4,4,5,4,4,4,4,4,4,4,4,3,5,4,4,3,5,3,3,5,S1238,43.6857858,-79.391174558,313557.781,4838210.101
2539,4153744,2017,2021,1967,PRIVATE,12,Toronto-St. Paul's,44 JACKES AVE,24,411,2021-11-01,81,Evaluation needs to be conducted in 2 years,20,5,5,5,4,4,3,4,3,5,4,3,4,5,4,4,3,5,4,3,4,S1238,43.6857858,-79.391174558,313557.781,4838210.101
10910,4153745,2017,2017,1969,PRIVATE,12,Toronto-St. Paul's,50 ROSEHILL AVE,23,245,2017-10-25,75,Evaluation needs to be conducted in 2 years,20,4,4,4,3,4,2,4,4,4,3,4,4,5,4,4,4,4,3,3,4,S1238,43.686997323,-79.391011464,313570.756,4838344.719
5403,4153745,2017,2019,1969,PRIVATE,12,Toronto-St. Paul's,50 ROSEHILL AVE,23,245,2019-11-27,95,Evaluation needs to be conducted in 3 years,20,5,5,5,5,5,4,5,5,4,5,5,5,5,4,5,5,4,5,4,5,S1238,43.686997323,-79.391011464,313570.756,4838344.719
535,4153745,2017,,1969,PRIVATE,12,Toronto-St. Paul's,50 ROSEHILL AVE,23,245,2022-12-05,87,Evaluation needs to be conducted in 3 years,20,5,5,5,4,4,3,5,5,5,5,4,4,5,4,5,5,4,4,2,4,S1238,43.686997323,-79.391011464,313570.756,4838344.719
9212,4153746,2017,2017,1969,PRIVATE,12,Toronto-St. Paul's,40 PLEASANT BLVD,32,163,2017-12-11,70,Evaluation needs to be conducted in 2 years,18,4,3,4,3,4,3,4,4,4,,3,3,5,3,4,3,3,3,3,,S1238,43.6875941833,-79.3924335004,313456.285,4838409.917
5400,4153746,2017,2019,1969,PRIVATE,12,Toronto-St. Paul's,40 PLEASANT BLVD,32,163,2019-11-27,82,Evaluation needs to be conducted in 2 years,20,5,5,5,2,4,3,4,4,5,3,5,5,5,4,4,3,4,4,3,5,S1238,43.6875941833,-79.3924335004,313456.285,4838409.917
2480,4153746,2017,2021,1969,PRIVATE,12,Toronto-St. Paul's,40 PLEASANT BLVD,32,163,2021-11-03,87,Evaluation needs to be conducted in 3 years,20,5,5,5,3,4,4,4,4,5,4,5,5,5,4,4,4,4,4,4,5,S1238,43.6875941833,-79.3924335004,313456.285,4838409.917
9922,4153747,2017,2017,1954,PRIVATE,12,Toronto-St. Paul's,49 GLEN ELM AVE,4,71,2017-11-21,62,Evaluation needs to be conducted in 1 year,18,3,3,4,3,3,3,,3,3,3,3,3,5,3,3,3,2,3,3,,S1233,43.6914009803,-79.3925441035,313446.829,4838832.843
6590,4153747,2017,2018,1954,PRIVATE,12,Toronto-St. Paul's,49 GLEN ELM AVE,4,71,2019-03-18,78,Evaluation needs to be conducted in 2 years,18,4,4,4,4,5,4,,3,4,4,4,4,5,4,3,4,3,4,3,,S1233,43.6914009803,-79.3925441035,313446.829,4838832.843
4043,4153747,2017,2020,1954,PRIVATE,12,Toronto-St. Paul's,49 GLEN ELM AVE,4,71,2020-11-25,78,Evaluation needs to be conducted in 2 years,18,4,4,4,3,4,4,,4,4,4,4,4,5,4,4,4,3,3,4,,S1233,43.6914009803,-79.3925441035,313446.829,4838832.843
416,4153747,2017,,1954,PRIVATE,12,Toronto-St. Paul's,49 GLEN ELM AVE,4,71,2022-12-08,85,Evaluation needs to be conducted in 2 years,17,5,4,5,5,4,3,,4,5,4,4,4,5,4,4,4,,5,3,,S1233,43.6914009803,-79.3925441035,313446.829,4838832.843
9921,4153748,2017,2017,1960,PRIVATE,12,Toronto-St. Paul's,42 GLEN ELM AVE,3,39,2017-11-21,64,Evaluation needs to be conducted in 1 year,16,3,3,4,3,,3,,3,4,,3,3,5,3,3,2,3,3,3,,S1233,43.6919673643,-79.3928327445,313423.481,4838895.74
6584,4153748,2017,2018,1960,PRIVATE,12,Toronto-St. Paul's,42 GLEN ELM AVE,3,39,2019-03-18,96,Evaluation needs to be conducted in 3 years,18,5,5,5,5,4,4,5,5,5,,5,4,5,5,5,5,5,5,4,,S1233,43.6919673643,-79.3928327445,313423.481,4838895.74
2716,4153748,2017,2021,1960,PRIVATE,12,Toronto-St. Paul's,42 GLEN ELM AVE,3,39,2021-10-20,72,Evaluation needs to be conducted in 2 years,17,4,4,4,4,,2,3,4,5,,4,2,5,3,4,3,3,4,3,,S1233,43.6919673643,-79.3928327445,313423.481,4838895.74
