,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
5667,4155758,2017,2019,2005,PRIVATE,8,Eglinton-Lawrence,515 ROSEWELL AVE,7,89,2019-11-20,93,Evaluation needs to be conducted in 3 years,19,5,4,5,4,,4,5,5,4,5,5,5,5,5,5,5,4,4,4,5,N0829,43.7222177359,-79.4134144337,311760.877,4842254.524
288,4155758,2017,,2005,PRIVATE,8,Eglinton-Lawrence,515 ROSEWELL AVE,7,89,2022-12-13,99,Evaluation needs to be conducted in 3 years,19,5,5,5,5,,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,N0829,43.7222177359,-79.4134144337,311760.877,4842254.524
9862,4155763,2017,2017,1966,PRIVATE,3,Etobicoke-Lakeshore,8 SAND BEACH RD,3,24,2017-11-22,66,Evaluation needs to be conducted in 2 years,16,3,3,3,4,3,3,,3,,3,3,3,5,3,3,4,,4,3,,W0335,43.6017504793,-79.4973496244,304998.293,4828867.665
6267,4155763,2017,2019,1966,PRIVATE,3,Etobicoke-Lakeshore,8 SAND BEACH RD,3,24,2019-10-31,78,Evaluation needs to be conducted in 2 years,16,4,4,4,4,3,5,,4,,4,4,5,5,3,3,4,,3,3,,W0335,43.6017504793,-79.4973496244,304998.293,4828867.665
2589,4155763,2017,2021,1966,PRIVATE,3,Etobicoke-Lakeshore,8 SAND BEACH RD,3,24,2021-10-27,73,Evaluation needs to be conducted in 2 years,16,3,4,5,4,2,5,,4,,2,3,4,5,3,4,4,,3,3,,W0335,43.6017504793,-79.4973496244,304998.293,4828867.665
9399,4155764,2019,2017,1955,PRIVATE,3,Etobicoke-Lakeshore,1 A BIRCHLEA AVE,3,21,2017-12-05,59,Evaluation needs to be conducted in 1 year,14,3,3,3,2,,2,,3,,,3,2,5,3,3,3,,3,3,,W0334,43.5927621745,-79.527405433,302571.59,4827869.423
7549,4155764,2019,2018,1955,PRIVATE,3,Etobicoke-Lakeshore,1 A BIRCHLEA AVE,3,21,2019-01-25,55,Evaluation needs to be conducted in 1 year,15,3,3,2,2,2,2,,3,,,3,2,5,3,3,2,,3,3,,W0334,43.5927621745,-79.527405433,302571.59,4827869.423
3067,4155764,2019,2021,1955,PRIVATE,3,Etobicoke-Lakeshore,1 A BIRCHLEA AVE,3,21,2021-05-05,37,Building Audit,14,2,2,3,1,1,2,,2,,,1,1,3,2,2,2,,2,,,W0334,43.5927621745,-79.527405433,302571.59,4827869.423
1903,4155764,2019,,1955,PRIVATE,3,Etobicoke-Lakeshore,1 A BIRCHLEA AVE,3,21,2022-05-18,64,Evaluation needs to be conducted in 1 year,15,3,3,3,3,3,3,,3,,,3,4,5,3,3,3,,3,3,,W0334,43.5927621745,-79.527405433,302571.59,4827869.423
233,4155764,2019,,1955,PRIVATE,3,Etobicoke-Lakeshore,1 A BIRCHLEA AVE,3,21,2022-12-15,72,Evaluation needs to be conducted in 2 years,15,3,3,5,3,3,3,,3,,,3,4,5,5,3,3,,5,3,,W0334,43.5927621745,-79.527405433,302571.59,4827869.423
10559,4155766,2017,2017,2005,SOCIAL HOUSING,10,Spadina-Fort York,552 ADELAIDE ST W,5,84,2017-11-03,63,Evaluation needs to be conducted in 1 year,18,3,3,4,3,3,4,3,3,3,,3,2,3,3,3,3,,4,3,4,S1029,43.645573462,-79.402433707,312653.459,4833740.458
6770,4155766,2017,2018,2005,SOCIAL HOUSING,10,Spadina-Fort York,552 ADELAIDE ST W,5,84,2019-03-11,77,Evaluation needs to be conducted in 2 years,18,3,4,5,4,4,4,3,3,4,,3,4,5,4,4,4,,4,3,4,S1029,43.645573462,-79.402433707,312653.459,4833740.458
3696,4155766,2017,2020,2005,SOCIAL HOUSING,10,Spadina-Fort York,552 ADELAIDE ST W,5,84,2020-12-10,88,Evaluation needs to be conducted in 3 years,17,5,5,5,4,5,4,5,4,4,,4,3,5,5,4,4,,4,,5,S1029,43.645573462,-79.402433707,312653.459,4833740.458
9292,4155767,2017,2017,1960,PRIVATE,6,York Centre,10 ELLISON AVE,3,12,2017-12-08,51,Evaluation needs to be conducted in 1 year,17,2,3,2,2,2,3,,2,,3,2,2,3,3,3,3,3,3,2,,N0629,43.7500169368,-79.4379486649,309781.844,4845341.052
7150,4155767,2017,2018,1960,PRIVATE,6,York Centre,10 ELLISON AVE,3,12,2019-02-20,66,Evaluation needs to be conducted in 2 years,16,3,3,3,4,3,4,,3,,,2,3,5,4,3,3,4,3,3,,N0629,43.7500169368,-79.4379486649,309781.844,4845341.052
4875,4155767,2017,2020,1960,PRIVATE,6,York Centre,10 ELLISON AVE,3,12,2020-10-20,70,Evaluation needs to be conducted in 2 years,16,3,4,4,4,3,3,,3,,,3,3,5,4,3,3,4,3,4,,N0629,43.7500169368,-79.4379486649,309781.844,4845341.052
890,4155767,2017,,1960,PRIVATE,6,York Centre,10 ELLISON AVE,3,12,2022-11-18,75,Evaluation needs to be conducted in 2 years,16,3,4,5,3,3,3,,3,,,3,4,5,4,4,4,5,4,3,,N0629,43.7500169368,-79.4379486649,309781.844,4845341.052
11713,4155768,2017,2017,2006,PRIVATE,17,Don Valley North,121 PARKWAY FOREST DR,14,232,2017-10-04,77,Evaluation needs to be conducted in 2 years,19,3,4,4,4,4,4,4,4,4,,3,3,5,4,4,4,4,4,3,4,N1730,43.7753760756,-79.3407074848,317568.764,4848085.643
5893,4155768,2017,2019,2006,PRIVATE,17,Don Valley North,121 PARKWAY FOREST DR,14,232,2019-11-18,91,Evaluation needs to be conducted in 3 years,19,5,4,4,4,5,4,5,5,4,,4,4,5,5,4,5,5,5,4,5,N1730,43.7753760756,-79.3407074848,317568.764,4848085.643
1024,4155768,2017,,2006,PRIVATE,17,Don Valley North,121 PARKWAY FOREST DR,14,232,2022-11-14,96,Evaluation needs to be conducted in 3 years,19,5,5,5,5,5,5,4,5,5,,5,5,5,4,5,5,5,3,5,5,N1730,43.7753760756,-79.3407074848,317568.764,4848085.643
9906,4155769,2017,2017,1960,PRIVATE,3,Etobicoke-Lakeshore,2323 LAKE SHORE BLVD W,10,133,2017-11-21,74,Evaluation needs to be conducted in 2 years,20,4,4,4,4,4,4,4,3,3,4,3,4,5,4,3,3,3,4,3,4,W0336,43.6169356849,-79.4866758705,305824.401,4830594.748
6200,4155769,2017,2019,1960,PRIVATE,3,Etobicoke-Lakeshore,2323 LAKE SHORE BLVD W,10,133,2019-11-01,81,Evaluation needs to be conducted in 2 years,19,4,4,4,3,5,3,4,4,5,4,4,5,5,4,4,4,4,4,3,,W0336,43.6169356849,-79.4866758705,305824.401,4830594.748
2561,4155769,2017,2021,1960,PRIVATE,3,Etobicoke-Lakeshore,2323 LAKE SHORE BLVD W,10,133,2021-10-28,79,Evaluation needs to be conducted in 2 years,19,5,5,5,4,4,2,5,4,5,4,4,4,5,3,4,3,3,3,3,,W0336,43.6169356849,-79.4866758705,305824.401,4830594.748
9905,4155770,2017,2017,1960,PRIVATE,3,Etobicoke-Lakeshore,2313 LAKE SHORE BLVD W,10,133,2017-11-21,71,Evaluation needs to be conducted in 2 years,20,4,3,4,3,4,3,3,3,4,4,3,4,5,3,4,3,3,4,3,4,W0336,43.617341413,-79.486574349,305830.931,4830610.135
6199,4155770,2017,2019,1960,PRIVATE,3,Etobicoke-Lakeshore,2313 LAKE SHORE BLVD W,10,133,2019-11-01,80,Evaluation needs to be conducted in 2 years,19,4,4,4,4,5,4,4,4,5,4,4,4,5,4,4,4,4,3,2,,W0336,43.617341413,-79.486574349,305830.931,4830610.135
2560,4155770,2017,2021,1960,PRIVATE,3,Etobicoke-Lakeshore,2313 LAKE SHORE BLVD W,10,133,2021-10-28,82,Evaluation needs to be conducted in 2 years,20,5,5,5,4,4,4,5,4,5,4,4,4,5,3,4,3,3,3,3,5,W0336,43.617341413,-79.486574349,305830.931,4830610.135
9904,4155771,2017,2017,1958,PRIVATE,3,Etobicoke-Lakeshore,2495 LAKE SHORE BLVD W,3,45,2017-11-21,63,Evaluation needs to be conducted in 1 year,16,3,3,3,3,3,3,,3,,2,3,3,5,4,3,3,,3,3,,W0336,43.6123424282,-79.4891538112,305659.804,4830044.418
6996,4155771,2017,2018,1958,PRIVATE,3,Etobicoke-Lakeshore,2495 LAKE SHORE BLVD W,3,45,2019-03-01,75,Evaluation needs to be conducted in 2 years,16,4,3,4,4,3,4,,3,,4,4,3,5,4,3,4,,4,4,,W0336,43.6123424282,-79.4891538112,305659.804,4830044.418
