Fri Jan 09 2026 10:22:25 GMT-0500 (Eastern Standard Time) - Run Time: 2826ms

Cross Tabulation Query Form - Trip - 2022

Row: 2022 TTS zone of destination - tts22_dest
Column: Primary travel mode of trip - mode_prime


Filters:
Regional municipality of household - region_hhld In 1

Trip 2022 
Table: 

,Transit excluding GO rail,Cycle,Auto driver,E-scooter,GO rail only,Joint GO rail and local transit,Motorcycle,Other,Auto passenger,School bus,Taxi passenger,Paid rideshare,Walk
1118,1160,280,1237,0,5,5,0,0,483,7,0,15,3397
1119,2059,1234,1143,43,11,8,34,0,471,362,66,74,2427
1120,0,118,0,0,0,0,0,0,9,0,0,0,64
1121,141,183,572,0,0,0,0,0,196,0,0,68,90
1122,1981,639,1538,63,10,0,0,0,668,0,81,175,2243
1123,2032,1488,4159,44,3,0,0,0,1532,41,125,235,5651
1124,1971,1009,2956,43,131,3,0,0,873,9,16,160,3866
1125,1635,385,2436,27,18,17,6,0,960,9,0,65,2681
1126,2807,423,2257,0,54,0,35,4,412,53,33,45,2508
1127,728,337,1111,0,0,31,16,0,341,104,0,48,1991
1128,747,512,2421,0,3,3,6,0,811,8,0,158,2588
1129,3614,1057,3554,33,0,17,0,0,998,285,41,92,4954
1130,3259,1539,4664,6,5,8,36,12,1651,134,8,92,6790
1131,434,26,467,0,0,21,30,33,92,0,0,0,260
1132,2113,805,5911,52,0,5,0,28,1495,0,88,305,2985
1133,450,86,1887,0,0,0,0,0,960,8,207,35,958
1134,2851,729,3908,0,0,0,0,0,1403,28,126,18,4377
1135,3795,900,4715,33,3,18,0,0,2096,161,27,225,8552
1136,582,379,1837,21,0,0,34,0,899,29,72,0,1331
1137,1355,330,4844,0,0,0,6,0,1659,297,4,25,2867
1138,342,148,1805,0,0,0,0,0,791,9,0,67,1292
1139,1299,264,4476,6,3,0,12,0,1633,89,138,42,1880
1140,1181,116,3363,0,0,7,0,0,961,7,0,37,537
1141,1511,58,3516,55,0,0,0,0,899,505,0,427,460
1142,786,43,2341,6,36,63,0,0,787,0,133,49,207
1143,2339,974,5665,22,250,285,0,0,1580,54,0,146,2358
1144,725,158,2828,0,66,16,11,0,983,117,217,10,1236
1145,765,7,4484,0,18,15,0,0,1089,75,5,121,618
1146,180,0,481,0,0,0,0,0,115,0,0,0,26
1147,919,0,2308,0,6,6,0,0,1158,0,0,108,547
1148,418,0,988,0,0,0,0,61,182,78,91,282,24
1149,1907,0,5100,0,10,134,0,0,1601,51,0,31,1307
1150,613,30,1408,0,6,6,0,0,487,360,0,0,213
1151,94,20,781,105,0,0,0,0,40,0,0,0,0
1152,521,29,2178,0,0,0,0,9,804,352,0,50,493
1153,1224,104,3351,37,0,0,0,0,850,290,5,0,1295
1154,737,73,1506,0,0,5,0,0,620,210,129,50,754
1155,1948,157,5128,26,0,0,4,0,1784,49,0,128,1301
1156,919,428,4754,143,0,0,32,0,883,0,5,0,849
1157,1262,321,2292,0,6,3,3,0,1183,420,0,3,2768
1158,624,164,1499,0,0,4,15,0,272,0,0,37,1136
1159,2978,272,3739,164,4,9,0,0,582,94,0,8,1806
1160,2094,381,4420,0,0,0,0,0,1475,14,22,27,3013
1161,767,0,1044,0,0,0,0,0,177,34,0,0,159
1162,1438,44,2339,61,0,0,0,0,677,44,0,0,502
1163,189,0,222,0,0,0,0,0,10,0,0,0,26
1164,1123,0,4137,0,0,0,0,0,1636,478,0,284,1656
1165,1492,0,4564,0,0,0,0,0,2770,414,74,6,2068
1166,377,9,2066,36,0,0,0,0,391,80,24,0,339
1167,763,19,3344,0,0,0,0,0,379,0,0,13,344
1168,953,62,5973,104,0,0,16,0,1339,27,8,6,777
1169,1471,116,3258,84,0,0,9,0,1285,10,0,95,1055
1170,691,50,1974,0,0,0,0,0,280,0,0,0,20
1171,564,14,1331,0,0,0,0,0,229,47,0,34,253
1172,630,66,1335,0,0,0,0,0,590,73,27,271,792
1173,392,144,1584,30,0,0,4,0,211,59,0,0,1426
1174,1415,46,2205,0,0,0,16,0,656,5,0,9,933
1175,1656,412,3351,24,4,0,0,0,1308,84,17,13,2818
1176,2567,553,3633,0,0,3,8,0,1375,154,0,96,3254
1177,1895,513,3178,10,0,0,3,0,1117,3,16,137,2870
1178,557,217,1157,3,0,3,0,0,589,85,48,106,1074
1179,254,108,648,0,0,0,0,0,65,0,0,0,92
1180,2944,345,2719,6,0,0,0,0,593,30,7,29,3968
1181,2271,745,2585,0,0,0,15,0,1032,22,0,192,3970
1182,1204,155,1829,0,0,0,0,0,812,116,20,23,2248
1183,1739,655,3063,13,0,0,10,0,815,0,3,121,2019
1184,4974,816,6168,0,9,0,31,37,1780,87,86,135,7028
1185,785,88,2367,0,0,0,16,0,802,0,11,16,1149
1186,2233,327,2585,0,0,9,0,0,743,158,0,316,2294
1187,980,239,2125,0,0,0,0,0,734,201,0,54,1003
1188,2723,311,4307,4,0,0,0,0,1201,156,43,436,2395
1189,1832,177,4232,98,0,0,287,0,1341,0,0,0,1736
1190,2873,86,5834,6,0,0,0,0,1222,19,0,218,1247
1191,4274,13,6462,0,0,14,0,0,2243,0,0,259,180
1192,1398,171,3425,0,0,0,0,0,1262,208,0,186,1348
1193,2600,249,5327,0,0,0,17,0,2353,108,0,133,2636
1194,1221,23,5584,19,0,0,29,0,2687,275,0,61,1464
1195,1357,130,3359,0,0,0,33,9,978,73,5,117,2236
1196,1119,152,3403,98,0,0,0,0,738,0,0,59,1038
